Name	Set	ImageFile	type	Rarity	Color	Cost	Inkwell	Classifications	Strength	Willpower	Lore	Text
Bestow a Gift	II	set3/60_54d95e6d9fdd028c30ea0213bc72ffb7c4ea7123	Action	Co	Amethyst	1	True					Move 1 damage counter from chosen character tochosen opposing character.
It Calls Me	II	set3/61_84aee067cce3f3dbb05dbf934c7fa5e9ffe18762	Song	Un	Amethyst	1	True	Song				(A character with cost 1 or more can ⟳ to sing this songfor free.)Draw a card. Then, choose up to 3 cards from chosenopponent's discard and shuffle them into their deck.
Last-Ditch Effort	II	set3/62_93bab3567550a1696a9f896714196b90a69736e3	Action	Un	Amethyst	3	False					Exert chosen opposing character. Then chosencharacter of yours gains Challenger +2 this turn.(They get +2 ¤ while challenging.)
The Boss is on a Roll	II	set3/63_15486232d554c6844613f8836cd7afb343742e2b	Song	Ra	Amethyst	3	True	Song				(A character with cost 3 or more can ⟳ to sing this song forfree.)Look at the top 5 cards of your deck. Put any number of themon the top or the bottom of your deck in any order. Gain 1 lore.
The Lamp	II	set3/64_01573a9e685f8133c7a803106d8d8f4392896ff1	Item	Ra	Amethyst	2	False					GOOD OR EVIL Banish this item — If you have acharacter named Jafar in play, draw 2 cards. If youhave a character named Genie in play, return chosencharacter with cost 4 or less to their player's hand.
The Sorcerer's Hat	II	set3/65_0df7f4c1a2c15329c03d66ac61ed24bb8a7102d2	Item	Ra	Amethyst	2	True					INCREDIBLE ENERGY ⟳, 1 ⬡ — Name a card, then reveal thetop card of your deck. If it's the named card, put that cardinto your hand. Otherwise, put it on the top of your deck.
Forbidden Mountain - Maleficent's Castle	II	set3/66_af7e7d8e3ef41d225d9104861c1cab561e7817b2	Location	Co	Amethyst	2	True		1	6	1	
The Queen's Castle - Mirror Chamber	II	set3/67_8b0a1e0b47c99ea2373b6ac468453312a35583f5	Location	Ra	Amethyst	4	True		1	7	2	USING THE MIRROR At the start of your turn, for each character you have here,you may draw a card.
The Sorcerer's Tower - Wondrous Workspace	II	set3/68_a32133150bfb92ef1c0bc18622df1b396de49c90	Location	Un	Amethyst	3	True		2	7	0	BROOM CLOSET Your characters named Magic Broom may move here for free.MAGICAL POWER Characters get +1 ◊ while here.
Cubby - Mighty Lost Boy	II	set3/69_81c4c6ae323d6e550fc14fa468128f7d7682c1f7	Ally	Co	Emerald	4	True	Storyborn, Ally	3	5	1	THE BEAR Whenever this character moves to alocation, he gets +3 ¤ this turn.
Cursed Merfolk - Ursula's Handiwork	II	set3/70_6b08223828b1fdc12a02d2c787e634560d5c85ef	Storyborn	Ra	Emerald	1	False	Storyborn	0	1	2	POOR SOULS Whenever this character is challenged,each opponent chooses and discards a card.
Don Karnage - Prince of Pirates	II	set3/71_688fdf0534d61521dd65a59979b8d4944160294d	Pirate	Co	Emerald	5	True	Dreamborn, Villain, Prince, Pirate	4	4	2	Evasive (Only characters with Evasive canchallenge this character.)
Flotsam - Riffraff	II	set3/72_feaa68ee54282451e8d07e34c4072547770a397f	Ally	Co	Emerald	3	True	Dreamborn, Ally	5	2	1	EERIE PAIR Your characters named Jetsam get+3 ¤.
Friar Tuck - Priest of Nottingham	II	set3/73_ea0025bd1aa8089e9a2cc4804c6a01896bf16546	Ally	Un	Emerald	4	True	Storyborn, Ally	2	4	2	YOU THIEVING SCOUNDREL When you play thischaracter, the player or players with the mostcards in their hand chooses and discards a card.
Helga Sinclair - Femme Fatale	II	set3/74_e6d4bb706bdc473a549b863bebd1d9f5f3b1279b	Villain	Su	Emerald	5	False	Floodborn, Villain	4	4	2	Shift 3 (You may pay 3 ⬡ to play this on top ofone of your characters named Helga Sinclair.)THIS CHANGES EVERYTHING Whenever thischaracter quests, you may deal 3 damage tochosen damaged character.
Helga Sinclair - Vengeful Partner	II	set3/75_5a7d6786d9ba719111c14f05a970da271bde888d	Villain	Ra	Emerald	2	True	Storyborn, Villain	2	1	1	NOTHING PERSONAL When this character ischallenged and banished, banish the challengingcharacter.
Jetsam - Riffraff	II	set3/76_2798ff2aa2a92a9ebeabddbeb9e5500283c73840	Ally	Co	Emerald	3	True	Dreamborn, Ally	2	2	2	Ward (Opponents can't choose this character except tochallenge.)EERIE PAIR Your characters named Flotsam gain Ward.
Kit Cloudkicker - Tough Guy	II	set3/77_5ada671896a44ef5beb9a00ac403bc8956b4f96c	Ally	Un	Emerald	3	True	Storyborn, Ally	2	2	1	SKYSURFING When you play this character, youmay return chosen opposing character with 2 ¤or less to their player's hand.
Lyle Tiberius Rourke - Cunning Mercenary	II	set3/78_b34d202b92a9363d08d49d99dcba3b51e341288e	Villain	Su	Emerald	3	False	Storyborn, Villain	2	4	1	WELL, NOW YOU KNOW When you play this character,chosen opposing character gains Reckless during theirnext turn. (They can't quest and must challenge if able.)THANKS FOR VOLUNTEERING Whenever one of yourother characters is banished, each opponent loses 1 lore.
Milo Thatch - Clever Cartographer	II	set3/79_d8e5a979e2c17413fc390e7736c070184dc277e9	Hero	Co	Emerald	1	True	Dreamborn, Hero	2	2	1	
Milo Thatch - King of Atlantis	II	set3/80_202f15be9a0d9e160d3d10c37a3d6840f3d7a208	King	Le	Emerald	7	False	Floodborn, Hero, King	4	4	3	Shift 4 (You may pay 4 ⬡ to play this on top of one ofyour characters named Milo Thatch.)TAKE THEM BY SURPRISE When this character isbanished, return all opposing characters to theirplayers' hands.
Morph - Space Goo	II	set3/81_9fdb3bc43e92e50d7e3691452f0eee2e2b53e8f7	Alien	Ra	Emerald	2	True	Storyborn, Ally, Alien	2	1	1	MIMICRY You may play any character with Shift onthis character as if this character had any name.
Peter Pan - Lost Boy Leader	II	set3/82_8cb396fa8ea7a4c8dbe69388fef505f556a0ccb5	Hero	Ra	Emerald	4	True	Dreamborn, Hero	3	3	1	I CAME TO LISTEN TO THE STORIES Once per turn,when this character moves to a location, gain loreequal to that location's ◊.
Prince John - Phony King	II	set3/83_aef38a7c81d65dbfa7d0014f8f40060324166aaf	Prince	Un	Emerald	5	False	Storyborn, Villain, Prince	2	4	2	COLLECT TAXES Whenever this character quests,each opponent with more lore than you loses 2 lore.
Robin Hood - Daydreamer	II	set3/84_cb51bf65dd5ce66767882413970ed28b51da83b6	Hero	Ra	Emerald	6	True	Dreamborn, Hero	4	5	4	
Shenzi - Hyena Pack Leader	II	set3/85_a28beceea824ffe0d79a56344326d5e2fda74df7	Hyena	Su	Emerald	4	True	Storyborn, Ally, Hyena	0	6	1	I'LL HANDLE THIS While this character is at a location, shegets +3 ¤.WHAT'S THE HURRY? While this character is at a location,whenever she challenges another character, you may drawa card.
Sir Hiss - Aggravating Asp	II	set3/86_eb1ab1d18243cbe333a628baf493e945adcb1cf1	Ally	Co	Emerald	2	True	Dreamborn, Ally	3	1	1	Evasive (Only characters with Evasive canchallenge this character.)
Skippy - Energetic Rabbit	II	set3/87_432e4e032f9c4ba46f43a107fa2779be91ef2ba6	Ally	Co	Emerald	2	True	Storyborn, Ally	2	2	1	Ward (Opponents can't choose this characterexcept to challenge.)
Starkey - Devious Pirate	II	set3/88_f09e5ec4168f9007bf61978626ba12b2e762261a	Pirate	Un	Emerald	7	True	Storyborn, Ally, Pirate	6	6	3	
Stitch - Covert Agent	II	set3/89_78987b77e863d39762622be27a01b818be6de9cf	Alien	Ra	Emerald	5	True	Dreamborn, Hero, Alien	3	3	2	Evasive (Only characters with Evasive can challenge thischaracter.)HIDE While this character is at a location, he gainsWard. (Opponents can't choose them except tochallenge.)
Ursula - Deceiver	II	set3/90_fba1ba5c2a26d6273dd67f23f35e71bfa79ca8ad	Sorcerer	Un	Emerald	2	True	Storyborn, Villain, Sorcerer	1	3	1	YOU'LL NEVER EVEN MISS IT When you play thischaracter, chosen opponent reveals their handand discards a song card of your choice.
Ursula - Deceiver of All	II	set3/91_28ea07becfe881bf4cc2d3e157667112fb8cd94e	Sorcerer	Le	Emerald	3	True	Dreamborn, Villain, Sorcerer	2	3	1	WHAT A DEAL Whenever this character sings a song,you may play that song again from your discard forfree. If you do, put that card on the bottom of yourdeck instead of into your discard.
Wildcat - Mechanic	II	set3/92_4a7b8fdc5b350d18f3475256a718eb4082379f53	Ally	Un	Emerald	3	True	Storyborn, Ally	2	3	1	Evasive (Only characters with Evasive canchallenge this character.)DISASSEMBLE ⟳ — Banish chosen item.
Zazu - Steward of the Pride Lands	II	set3/93_9c2e9ab13d6328c925aa9ace1620173b6df1d8d9	Ally	Co	Emerald	1	True	Storyborn, Ally	2	1	1	IT'S TIME TO GO! While this character is at alocation, he gets +1 ◊.
Has Set My Heaaaaaaart...	II	set3/94_6c19dfd10863ac08d996fb6708dcd299c6d11b07	Song	Un	Emerald	2	True	Song				(A character with cost 2 or more can ⟳ to sing thissong for free.)Banish chosen item.
I Will Find My Way	II	set3/95_bf2de9ce94fecc5b6e75f3b997b37da51098ff84	Song	Co	Emerald	1	True	Song				(A character with cost 1 or more can ⟳ to sing this song for free.)Chosen character of yours gets +2 ¤ this turn. They may move toa location for free.
Strike a Good Match	II	set3/96_4e523d5548495101d125d98751f542333a559517	Song	Co	Emerald	2	True	Song				(A character with cost 2 or more can ⟳ to sing thissong for free.)Draw 2 cards, then choose and discard a card.
Airfoil	II	set3/97_99b5e3ab6642f2fa0081bdc7972c794070eb43b6	Item	Co	Emerald	2	True					I GOT TO BE GOING ⟳ — If you've played 2 or moreactions this turn, draw a card.
Robin's Bow	II	set3/98_482580facc8ebc31f5b88948ea70f8bf5e8487eb	Item	Un	Emerald	3	False					FOREST'S GIFT ⟳ — Deal 1 damage to chosen damagedcharacter or location.A BIT OF A LARK Whenever a character of yours named RobinHood quests, you may ready this item.
Starlight Vial	II	set3/99_366dee7621d0ce3b4abe387e5594a441f31b81fa	Item	Ra	Emerald	4	False					EFFICIENT ENERGY ⟳ — You pay 2 ⬡ less for the nextaction you play this turn.TRAP 2 ⬡, Banish this item — Draw 2 cards, then chooseand discard a card.
De Vil Manor - Cruella's Estate	II	set3/100_fb860a7dc50e51e9654b6aed8257b22c1cb4c159	Location	Co	Emerald	1	True		1	4	1	
Fang - River City	II	set3/101_566cb703336bb025915e8447c27749ee032aab7c	Location	Ra	Emerald	4	True		2	6	2	SURROUNDED BY WATER Characters gain Ward and Evasive while here. (Opponents can'tchoose them except to challenge. Only characters with Evasive can challenge them.)
Kuzco's Palace - Home of the Emperor	II	set3/102_081f149b9771cdd8f971497fe1f0ea6435a05688	Location	Un	Emerald	3	True		3	7	1	CITY WALLS Whenever a character is challenged and banished while here, banish thechallenging character.
Ariel - Adventurous Collector	II	set3/103_cd85b64f9d8742b82be515bf36f81c37258b3eb6	Princess	Su	Ruby	3	True	Dreamborn, Hero, Princess	2	3	1	Evasive (Only characters with Evasive can challenge thischaracter.)INSPIRING VOICE Whenever you play a song, chosencharacter of yours gains Evasive until the start of your nextturn.
Billy Bones - Keeper of the Map	II	set3/104_215fb35b905f166e38f7094d62414bbe386459c7	Pirate	Co	Ruby	5	True	Storyborn, Alien, Pirate	6	5	1	
Captain Hook - Master Swordsman	II	set3/105_450423b16365de0ba7663fe8ec934a75c5633cc4	Captain	Ra	Ruby	5	True	Dreamborn, Villain, Pirate, Captain	5	4	1	NEMESIS During your turn, whenever this characterbanishes another character in a challenge, ready thischaracter. He can't quest for the rest of this turn.MAN-TO-MAN Characters named Peter Pan loseEvasive and can't gain Evasive.
Della Duck - Unstoppable Mom	II	set3/106_258ad776ac788c68323a4895990096003ff663a7	Ally	Co	Ruby	2	False	Storyborn, Ally	3	3	0	Reckless (This character can't quest and mustchallenge each turn if able.)
HeiHei - Accidental Explorer	II	set3/107_9e069f7982f79e34788ad0c45a8ef104b81cef21	Ally	Un	Ruby	2	True	Storyborn, Ally	3	2	1	MINDLESS WANDERING Once per turn, when thischaracter moves to a location, each opponentloses 1 lore.
Hydra - Deadly Serpent	II	set3/108_02318fa6665ac6d7889be409717dc0f5d6d2c46f	Storyborn	Le	Ruby	6	False	Storyborn	6	5	2	WATCH THE TEETH Whenever this character isdealt damage, deal that much damage to chosenopposing character.
Jim Hawkins - Space Traveler	II	set3/109_7c0ab4dc335972c6a4d664fcd93968d028a34177	Hero	Le	Ruby	5	True	Storyborn, Hero	4	4	2	THIS IS IT! When you play this character, you may play alocation with cost 4 or less for free.TAKE THE HELM Whenever you play a location, thischaracter may move there for free.
Jim Hawkins - Thrill Seeker	II	set3/110_7cd11fa61f9d0caf7618225a79b66b870e5e2550	Hero	Co	Ruby	2	True	Dreamborn, Hero	3	2	1	
Kakamora - Menacing Sailor	II	set3/111_901931ed4845e3757313b8daf23b1339b6c329c8	Pirate	Co	Ruby	3	False	Storyborn, Pirate	3	2	1	PLUNDER When you play this character, eachopponent loses 1 lore.
Madame Medusa - The Boss	II	set3/112_d8632c18021d99876ea030b8831b9683dc1752a1	Villain	Su	Ruby	6	False	Storyborn, Villain	4	4	1	THAT TERRIBLE WOMAN When you play thischaracter, banish chosen opposing character with3 ¤ or less.
Maui - Soaring Demigod	II	set3/113_c1b0661aaff19014e86223cfcd3f7f38a1815862	Deity	Un	Ruby	3	False	Storyborn, Hero, Deity	5	2	0	Reckless (This character can't quest and must challengeeach turn if able.)IN MA BELLY Whenever a character of yours namedHeiHei quests, this character gets +1 ◊ and losesReckless this turn.
Maui - Whale	II	set3/114_0e6f1e3d53653b7145e274b66e54f1bf75b0f34d	Deity	Ra	Ruby	7	True	Storyborn, Hero, Deity	8	8	1	THIS MISSION IS CURSED This character can'tready at the start of your turn.I GOT YOUR BACK 2 ⬡ — Ready this character.He can't quest for the rest of this turn.
Milo Thatch - Spirited Scholar	II	set3/115_af3affdf189f6c5761e8a5d9d1b763f085685130	Hero	Co	Ruby	2	True	Storyborn, Hero	2	2	1	I'M YOUR MAN! While this character is at alocation, he gets +2 ¤.
Moana - Born Leader	II	set3/116_8b6e133d3fa64bced50000ee325fdc3854a9f408	Captain	Ra	Ruby	5	True	Floodborn, Hero, Princess, Captain	4	4	2	Shift 3 (You may pay 3 ⬡ to play this on top of oneof your characters named Moana.)WELCOME TO MY BOAT Whenever this characterquests while at a location, ready all other charactershere. They can't quest for the rest of this turn.
Moana - Undeterred Voyager	II	set3/117_15f83d5fff745adc4ddcae53d6d92c20782c2a5f	Princess	Co	Ruby	4	True	Storyborn, Hero, Princess	3	4	1	Evasive (Only characters with Evasive canchallenge this character.)
Nutsy - Vulture Henchman	II	set3/118_9b0a55fbfd40878dab32b404d7fb9b57ce396bbd	Ally	Co	Ruby	2	True	Storyborn, Ally	2	3	1	
Peter Pan - Never Land Hero	II	set3/119_40f6000d5c687e163553d2dc58ae1e1689aae05e	Hero	Co	Ruby	3	True	Storyborn, Hero	1	3	2	Rush (This character can challenge the turn they'replayed.)OVER HERE, TINK While you have a character namedTinker Bell in play, this character gets +2 ¤.
Peter Pan - Pirate's Bane	II	set3/120_de96e54fdc3de74f63b4ff1c26a767d53c7f73ac	Hero	Ra	Ruby	6	True	Floodborn, Hero	4	5	2	Shift 4 (You may pay 4 ⬡ to play this on top of one of yourcharacters named Peter Pan.)Evasive (Only characters with Evasive can challenge thischaracter.)YOU'RE NEXT! Whenever he challenges a Pirate character,this character takes no damage from the challenge.
Prince Eric - Expert Helmsman	II	set3/121_dd814a0c32691e4c5a2f0b6a9be9af8efbd31249	Prince	Su	Ruby	4	False	Dreamborn, Hero, Prince	2	2	2	SURPRISE MANEUVER When this character isbanished, you may banish chosen character.
Scroop - Backstabber	II	set3/122_0389cb5cd2d1660125532da280ae54c4fccafdde	Pirate	Un	Ruby	5	True	Storyborn, Villain, Alien, Pirate	2	5	2	BRUTE While this character has damage, he gets+3 ¤.
Simba - Scrappy Cub	II	set3/123_777875fbd637e24ec5ebb1315e683ef79ab18dad	Prince	Ra	Ruby	2	False	Storyborn, Hero, Prince	1	1	3	
Slightly - Lost Boy	II	set3/124_9e684c2145be367c753b8a10cf72b39ad7065437	Ally	Un	Ruby	4	True	Storyborn, Ally	4	3	1	THE FOX If you have a character named Peter Pan inplay, you pay 1 ⬡ less to play this character.Evasive (Only characters with Evasive can challengethis character.)
Stitch - Little Rocket	II	set3/125_e3dafe337bfb2633ab576f6bec983f370fcdea37	Alien	Co	Ruby	2	False	Dreamborn, Hero, Alien	3	1	1	Rush (This character can challenge the turnthey're played.)
Trigger - Not-So-Sharp Shooter	II	set3/126_84e22fd01521769ba27c9aa27418fa532aa1b0b8	Ally	Un	Ruby	2	True	Storyborn, Ally	3	1	1	OLD BETSY Your characters named Nutsy get +1 ◊.
Webby Vanderquack - Enthusiastic Duck	II	set3/127_6629c1e6491918942387ebe38098a529c3792e92	Ally	Co	Ruby	3	True	Storyborn, Ally	3	4	1	
Divebomb	II	set3/128_ed1b198132955321dac6d2056dd08000a5754969	Action	Un	Ruby	3	True					Banish one of your characters with Reckless to banishchosen character with less ¤ than that character.
I've Got a Dream	II	set3/129_0ace0044afcb43db36349dc2ae5c1cecff55516f	Song	Un	Ruby	2	True	Song				(A character with cost 2 or more can ⟳ to sing this song for free.)Ready chosen character of yours at a location. They can't questfor the rest of this turn. Gain lore equal to that location's ◊.
On Your Feet! Now!	II	set3/130_04b19540f7e47f37e7d24d33747011b59b53ac22	Action	Ra	Ruby	4	False					Ready all your characters and deal 1 damage to each ofthem. They can't quest for the rest of this turn.
Voyage	II	set3/131_47a427065a19151f8e03db953ed4aea69a8fc903	Action	Co	Ruby	1	True					Move up to 2 characters of yours to the same locationfor free.
Maui's Fish Hook	II	set3/132_8286d9ab58c625136c8a63318e242421556acb81	Item	Ra	Ruby	3	True					IT'S MAUI TIME! If you have a character named Maui in play,you may use this item's Shapeshift ability for free.SHAPESHIFT ⟳, 2 ⬡ — Choose one:• Chosen character gains Evasive until the start of your nextturn. (Only characters with Evasive can challenge them.)• Chosen character gets +3 ¤ this turn.
Sumerian Talisman	II	set3/133_7018f88d2ff7293eac369365687479d57e3b50bb	Item	Un	Ruby	3	True					SOURCE OF MAGIC During your turn, whenever one of yourcharacters is banished in a challenge, you may draw a card.
Agrabah - Marketplace	II	set3/134_e45f5b2e4b5205347b28d22fba5ab7c7e66c43b5	Location	Co	Ruby	3	True		1	5	2	
Jolly Roger - Hook's Ship	II	set3/135_b5b4607b7c5942ae03591d132537f49529d7ec16	Location	Un	Ruby	1	False		2	5	0	LOOK ALIVE, YOU SWABS! Characters gain Rush while here. (They can challengethe turn they're played.)ALL HANDS ON DECK! Your Pirate characters may move here for free.
RLS Legacy - Solar Galleon	II	set3/136_6d318b724689e4880c7c9e1c7ccd6f1e854e11da	Location	Ra	Ruby	4	False		3	8	2	THIS IS OUR SHIP Characters gain Evasive while here. (Only characters with Evasive canchallenge them.)HEAVE TOGETHER NOW If you have a character here, you pay 2 ⬡ less to move acharacter of yours here.
Audrey Ramirez - The Engineer	II	set3/137_b30584c011d1f806ba5f8d528f3a99d1bf09dd88	Ally	Ra	Sapphire	5	True	Storyborn, Ally	2	5	2	Ward (Opponents can't choose this characterexcept to challenge.)SPARE PARTS Whenever this character quests,ready one of your items.
Captain Amelia - First in Command	II	set3/138_a437eb321e3f2b75d52456a62915bdb83efc11c9	Captain	Co	Sapphire	3	True	Storyborn, Alien, Captain	1	5	1	DISCIPLINE During your turn, this character gainsEvasive. (They can challenge characters withEvasive.)
Dewey - Showy Nephew	II	set3/139_d43fadc5d22a9c272098a6a2cb75986256fb07b8	Ally	Un	Sapphire	3	True	Dreamborn, Ally	2	3	2	Support (Whenever this character quests, youmay add their ¤ to another chosen character's¤ this turn.)
Flintheart Glomgold - Lone Cheater	II	set3/140_0c51a7c9b042990001cf8b1b90b62d680eb66669	Villain	Un	Sapphire	4	True	Storyborn, Villain	3	4	2	THEY'LL NEVER SEE IT COMING! During your turn,this character gains Evasive. (They can challengecharacters with Evasive.)
Genie - Cramped in the Lamp	II	set3/141_3f46f423eb881d8c32e209551c5998749d26f022	Ally	Un	Sapphire	2	True	Storyborn, Ally	2	2	2	
Gramma Tala - Keeper of Ancient Stories	II	set3/142_e57a4a84300de3695cb02335c4fdf4b0417ae367	Mentor	Co	Sapphire	4	True	Storyborn, Mentor	3	3	1	THERE WAS ONLY OCEAN When you play thischaracter, look at the top 2 cards of your deck. Youmay put one into your hand. Put the rest on thebottom of your deck in any order.
Gramma Tala - Spirit of the Ocean	II	set3/143_52b9f4e308de47f9e31ac056cec180b5fdb1b64b	Mentor	Le	Sapphire	7	True	Floodborn, Mentor	4	8	2	Shift 5 (You may pay 5 ⬡ to play this on top of one ofyour characters named Gramma Tala.)DO YOU KNOW WHO YOU ARE? Whenever a card is putinto your inkwell, gain 1 lore.
Gyro Gearloose - Gadget Whiz	II	set3/144_e9884dcd0b48a0de55b9a4b100e261cae33d4a1a	Inventor	Ra	Sapphire	3	True	Storyborn, Ally, Inventor	1	4	1	NOW TRY TO KEEP UP ⟳ — Put an item card fromyour discard on the top of your deck.
Huey - Savvy Nephew	II	set3/145_98196393404b47cdc61f4dd25e4c97201088de0c	Ally	Ra	Sapphire	2	True	Dreamborn, Ally	2	2	1	Support (Whenever this character quests, you may addtheir ¤ to another chosen character's ¤ this turn.)THREE NEPHEWS Whenever this character quests, if youhave characters named Dewey and Louie in play, youmay draw 3 cards.
King Louie - Bandleader	II	set3/146_626c974ece81dc333548365bffd6e2f8781a083c	King	Co	Sapphire	7	True	Storyborn, Ally, King	7	7	3	
Kit Cloudkicker - Navigator	II	set3/147_f2871c1ee6315ebd486ad555a09aa444252989f2	Ally	Un	Sapphire	6	True	Floodborn, Ally	2	5	3	Shift 3 (You may pay 3 ⬡ to play this on top ofone of your characters named Kit Cloudkicker.)Ward (Opponents can't choose this characterexcept to challenge.)
Kit Cloudkicker - Spunky Bear Cub	II	set3/148_be12463c4ec09225649acdbe2ee08987c2ea2344	Ally	Co	Sapphire	1	True	Storyborn, Ally	0	1	1	Ward (Opponents can't choose this characterexcept to challenge.)
Louie - Chill Nephew	II	set3/149_1a10d4124ea600b1ef07d9e1123f6e2d071b0814	Ally	Co	Sapphire	4	True	Dreamborn, Ally	3	4	2	Support (Whenever this character quests, youmay add their ¤ to another chosen character's¤ this turn.)
Maid Marian - Delightful Dreamer	II	set3/150_02c39183449648953933c0ea2deed34f20041043	Princess	Co	Sapphire	5	True	Storyborn, Princess	4	4	2	HIGHBORN LADY When you play this character,chosen character gets -2 ¤ this turn.
Mama Odie - Mystical Maven	II	set3/151_a9ca9bdc9888cd76af42016b050146e893f2c17f	Mentor	Ra	Sapphire	3	False	Storyborn, Mentor	1	3	1	THIS GOING TO BE GOOD Whenever you play a song,you may put the top card of your deck into your inkwellfacedown and exerted.
Pluto - Mickey's Clever Friend	II	set3/152_a91197c7f9b8e449ff5c0dbf6299801bc192c0e7	Ally	Co	Sapphire	3	True	Dreamborn, Ally	3	4	1	
Rufus - Orphanage Cat	II	set3/153_f7a002fe8e5f183ae9b1cd53ff62b15c318ec8d4	Ally	Co	Sapphire	5	True	Dreamborn, Ally	4	5	1	TOO OLD TO BE CHASING MICE When thischaracter is banished, you may put this card intoyour inkwell facedown and exerted.
Scrooge McDuck - Richest Duck in the World	II	set3/154_d2bdbb8004ec7cf46b57681d9c8789b19d7511c8	Hero	Su	Sapphire	5	False	Storyborn, Hero	3	5	1	I'M GOING HOME! During your turn, this character gainsEvasive. (They can challenge characters with Evasive.)I DIDN'T GET RICH BY BEING STUPID During your turn,whenever this character banishes another character in achallenge, you may play an item for free.
Scrooge McDuck - Uncle Moneybags	II	set3/155_64dc7bd00cb5d8606d6d02cd9b0a76f78081618f	Hero	Un	Sapphire	2	True	Dreamborn, Hero	1	3	1	TREASURE FINDER Whenever this characterquests, you pay 1 ⬡ less for the next item youplay this turn.
The Queen - Mirror Seeker	II	set3/156_87aba3806773e2e400a843df4f5d1759ac71c970	Sorcerer	Un	Sapphire	4	True	Storyborn, Villain, Queen, Sorcerer	2	5	1	CALCULATING AND VAIN Whenever this characterquests, you may look at the top 3 cards of yourdeck and put them back in any order.
Tinker Bell - Very Clever Fairy	II	set3/157_49768ce983b94afcb4c803e637f9dd8bd4cd2291	Fairy	Su	Sapphire	5	True	Dreamborn, Ally, Fairy	3	4	2	I CAN USE THAT Whenever one of your items isbanished, you may put that card into your inkwellfacedown and exerted.
Wendy Darling - Authority on Peter Pan	II	set3/158_0d82b465d909ce74c2d5659460036a499262fef4	Hero	Su	Sapphire	3	True	Storyborn, Hero	3	1	2	Ward (Opponents can't choose this characterexcept to challenge.)Support (Whenever this character quests, youmay add their ¤ to another chosen character's¤ this turn.)
Distract	II	set3/159_10b3ef70fa6989a4dcf1a96c603856d02e441ed7	Action	Co	Sapphire	2	True					Chosen character gets -2 ¤ this turn. Draw a card.
Friend Like Me	II	set3/160_a7dc70b7b0fe84a8e2cdb2b71e69162b518927df	Song	Ra	Sapphire	5	True	Song				(A character with cost 5 or more can ⟳ to sing thissong for free.)Each player puts the top 3 cards of their deck intotheir inkwell facedown and exerted.
How Far I'll Go	II	set3/161_c82290bcf4972f25ea3aeddda4dd35a0e722471f	Song	Un	Sapphire	4	False	Song				(A character with cost 4 or more can ⟳ to sing thissong for free.)Look at the top 2 cards of your deck. Put one into yourhand and the other into your inkwell facedown andexerted.
Repair	II	set3/162_fff1967b2f6c093c347122d07dc65b066c9a2cf5	Action	Co	Sapphire	2	True					Remove up to 3 damage from one of your locations orcharacters.
Aurelian Gyrosensor	II	set3/163_7200928b4c9ed440210db0f2385f107145cc459c	Item	Ra	Sapphire	2	True					SEEKING KNOWLEDGE Whenever one of your charactersquests, you may look at the top card of your deck. Put iton either the top or the bottom of your deck.
Heart of Te Fiti	II	set3/164_1c5f28d8cb5723f181e1f7427b5e19efeab6883f	Item	Ra	Sapphire	3	True					CREATE LIFE ⟳, 2 ⬡ — Put the top card of your deckinto your inkwell facedown and exerted.
Lucky Dime	II	set3/165_d78256ca28926b3719aa56ca590530da94acb004	Item	Le	Sapphire	7	False					NUMBER ONE ⟳, 2 ⬡ — Choose a character of yoursand gain lore equal to their ◊.
Scrooge's Top Hat	II	set3/166_0b7ac6a1ab1b5ecc61258382cacef523d667fcbc	Item	Un	Sapphire	2	False					BUSINESS EXPERTISE ⟳ — You pay 1 ⬡ less for thenext item you play this turn.
Vault Door	II	set3/167_af6f4fb2031d525a8a7eeacf5a01095d1e86599b	Item	Co	Sapphire	4	True					SEALED AWAY Your locations and characters atlocations gain Resist +1. (Damage dealt to them isreduced by 1.)
Belle's House - Maurice's Workshop	II	set3/168_837194e41e9544e488acc3aabff48f7724804d2d	Location	Ra	Sapphire	1	True		2	6	0	LABORATORY If you have a character here, you pay 1 ⬡ less to play items.
McDuck Manor - Scrooge's Mansion	II	set3/169_1a41ceb1d1d48f4b299288b9878b06dfcdb57624	Location	Co	Sapphire	4	True		1	9	2	
Motunui - Island Paradise	II	set3/170_2fc6040402baecef5aea5755d7cac8dba0fd7541	Location	Un	Sapphire	2	True		1	5	1	REINCARNATION Whenever a character is banished while here, you mayput that card into your inkwell facedown and exerted.
Chief Tui - Proud of Motunui	II	set3/171_003fdbd111c73a828fe7d8cec22e41e1c4c5b487	King	Co	Steel	4	True	Storyborn, Mentor, King	3	4	2	
Eeyore - Overstuffed Donkey	II	set3/172_90e811a1c3eab559232dee5343be17f3eb224e52	Ally	Co	Steel	5	True	Storyborn, Ally	4	5	1	Resist +1 (Damage dealt to this character isreduced by 1.)
Gustav the Giant - Terror of the Kingdom	II	set3/173_bf277040502de56f664c20061fafe2141811e48e	Villain	Ra	Steel	3	True	Dreamborn, Villain	6	6	1	ALL TIED UP This character enters play exertedand can't ready at the start of your turn.BREAK FREE During your turn, whenever one ofyour other characters banishes another characterin a challenge, you may ready this character.
Hades - Hotheaded Ruler	II	set3/174_313208d3fca7aff21c25877c8401e5c5e4f0a01e	Deity	Ra	Steel	6	True	Storyborn, Villain, Deity	5	5	2	CALL THE TITANS ⟳ — Ready your Titan characters.
